network,environment,scenario,configured_group,negotiated_group,batches,total_connections,total_real_seconds,overall_mean_handshake_ms,mean_of_batch_means_ms,median_batch_mean_ms,stdev_batch_mean_ms,p95_batch_mean_ms,p99_batch_mean_ms,min_batch_mean_ms,max_batch_mean_ms,overall_handshakes_per_second
wan,nginx,classic,X25519,X25519,10,547,311.000000,568.555759,568.900485,568.855219,13.509000,584.905660,584.905660,551.724138,584.905660,1.758842
wan,nginx,hybrid,X25519MLKEM768,X25519MLKEM768,10,554,310.000000,559.566787,560.345884,553.571429,22.111413,596.153846,596.153846,525.423729,596.153846,1.787097
wan,nginx,pq,mlkem768,MLKEM768,10,543,312.000000,574.585635,576.398329,568.855219,39.354271,660.000000,660.000000,534.482759,660.000000,1.740385
