network,environment,scenario,configured_group,negotiated_group,batches,total_connections,total_real_seconds,overall_mean_handshake_ms,mean_of_batch_means_ms,median_batch_mean_ms,stdev_batch_mean_ms,p95_batch_mean_ms,p99_batch_mean_ms,min_batch_mean_ms,max_batch_mean_ms,overall_handshakes_per_second
wan,nginx,classic,X25519,X25519,10,1140,310.000000,271.929825,272.281737,273.133054,10.321140,287.037037,287.037037,258.333333,287.037037,3.677419
wan,nginx,hybrid,X25519MLKEM768,X25519MLKEM768,10,1139,310.000000,272.168569,272.455103,269.565217,9.368992,287.037037,287.037037,260.504202,287.037037,3.674194
wan,nginx,pq,mlkem768,MLKEM768,10,1124,310.000000,275.800712,276.150926,274.336283,10.501383,298.076923,298.076923,262.711864,298.076923,3.625806
