network,environment,scenario,configured_group,negotiated_group,batches,total_connections,total_real_seconds,overall_mean_handshake_ms,mean_of_batch_means_ms,median_batch_mean_ms,stdev_batch_mean_ms,p95_batch_mean_ms,p99_batch_mean_ms,min_batch_mean_ms,max_batch_mean_ms,overall_handshakes_per_second
wan,nginx,classic,X25519,X25519,10,3092,310.000000,100.258732,100.323874,100.978270,2.711578,105.802048,105.802048,97.178683,105.802048,9.974194
wan,nginx,hybrid,X25519MLKEM768,X25519MLKEM768,10,3026,310.000000,102.445473,102.508843,102.821782,2.700992,107.638889,107.638889,99.358974,107.638889,9.761290
wan,nginx,pq,mlkem768,MLKEM768,10,3020,310.000000,102.649007,102.704190,102.990033,2.515469,106.896552,106.896552,99.358974,106.896552,9.741935
